Pic,Item,Distractor,Condition
Kaktus_gruen.png,Kaktus,Tür,filler
Blut_rot.png,Blut,Wolke,filler
Salat_gruen.png,Salat,Paket,unrel
Krone_gold.png,Krone,Bagger,unrel
Teller_weiss.png,Teller,Schale,rel
Panther_schwarz.png,Panther,Rose,unrel
Stern_gold.png,Stern,Mond,rel
Nest_braun.png,Nest,Höhle,rel
Kirsche_rot.png,Kirsche,Pflaume,rel
Muenze_gold.png,Münze,Flöte,unrel
Raupe_gruen.png,Raupe,Käfer,rel
Holz_braun.png,Holz,Lippe,unrel
Traktor_gruen.png,Traktor,Bagger,rel
Geige_braun.png,Geige,Schürze,unrel
Kette_gold.png,Kette,Uhr,rel
Erbse_gruen.png,Erbse,Hemd,unrel
Tisch_braun.png,Tisch,Stuhl,rel
Monster_gruen.png,Monster,Gitarre,unrel
Koffer_schwarz.png,Koffer,Hexe,unrel
Pferd_braun.png,Pferd,Zelt,unrel
Ring_gold.png,Ring,Armband,rel
Brief_weiss.png,Brief,Kuh,unrel
Herz_rot.png,Herz,Lunge,rel
Geige_braun.png,Geige,Flöte,rel
Kittel_weiss.png,Kittel,Schürze,rel
Reifen_schwarz.png,Reifen,Träne,unrel
Schaf_weiss.png,Schaf,Gurke,unrel
Trompete_gold.png,Trompete,Käfer,unrel
Anzug_schwarz.png,Anzug,Hemd,rel
Kaktus_gruen.png,Kaktus,Nase,unrel
Stern_gold.png,Stern,Tasche,unrel
Klavier_schwarz.png,Klavier,Orgel,rel
Hummer_rot.png,Hummer,Fisch,rel
Traktor_gruen.png,Traktor,Kasse,unrel
Pokal_gold.png,Pokal,Medaille,rel
Iglu_weiss.png,Iglu,Honig,unrel
Klee_gruen.png,Klee,Armband,unrel
Lakritz_schwarz.png,Lakritz,Mücke,unrel
Tulpe_rot.png,Tulpe,Rose,rel
Nuss_braun.png,Nuss,Orgel,unrel
Kaktus_gruen.png,Kaktus,Palme,rel
Holz_braun.png,Holz,Stein,rel
Fliege_schwarz.png,Fliege,Mücke,rel
Tisch_braun.png,Tisch,Gras,unrel
