Pic,Item,Distractor,Condition
Koffer_schwarz.png,Koffer,Buch,filler
Tisch_braun.png,Tisch,Auto,filler
Kaktus_gruen.png,Kaktus,Nase,unrel
Pferd_braun.png,Pferd,Zelt,unrel
Monster_gruen.png,Monster,Vampir,rel
Reifen_schwarz.png,Reifen,Träne,unrel
Stern_gold.png,Stern,Mond,rel
Klavier_schwarz.png,Klavier,Orgel,rel
Salat_gruen.png,Salat,Mais,rel
Traktor_gruen.png,Traktor,Kasse,unrel
Mund_rot.png,Mund,Esel,unrel
Kittel_weiss.png,Kittel,Schürze,rel
Brief_weiss.png,Brief,Paket,rel
Raupe_gruen.png,Raupe,Zepter,unrel
Kirsche_rot.png,Kirsche,Stuhl,unrel
Ring_gold.png,Ring,Löwe,unrel
Tomate_rot.png,Tomate,Gurke,rel
Holz_braun.png,Holz,Lippe,unrel
Kette_gold.png,Kette,Uhr,rel
Gespenst_weiss.png,Gespenst,Hexe,rel
Fliege_schwarz.png,Fliege,Boot,unrel
Klee_gruen.png,Klee,Armband,unrel
Zahn_weiss.png,Zahn,Lippe,rel
Pferd_braun.png,Pferd,Esel,rel
Krone_gold.png,Krone,Zepter,rel
Iglu_weiss.png,Iglu,Honig,unrel
Trompete_gold.png,Trompete,Gitarre,rel
Hummer_rot.png,Hummer,Lunge,unrel
Kittel_weiss.png,Kittel,Vampir,unrel
Lakritz_schwarz.png,Lakritz,Mücke,unrel
Schiff_braun.png,Schiff,Boot,rel
Nest_braun.png,Nest,Höhle,rel
Tulpe_rot.png,Tulpe,Fisch,unrel
Mund_rot.png,Mund,Nase,rel
Brief_weiss.png,Brief,Kuh,unrel
Nuss_braun.png,Nuss,Honig,rel
Panther_schwarz.png,Panther,Löwe,rel
Krone_gold.png,Krone,Bagger,unrel
Monster_gruen.png,Monster,Gitarre,unrel
Teller_weiss.png,Teller,Schale,rel
Blut_rot.png,Blut,Pflaume,unrel
Geige_braun.png,Geige,Schürze,unrel
Pokal_gold.png,Pokal,Bremse,unrel
Schaf_weiss.png,Schaf,Kuh,rel
