Pic,Item,Distractor,Condition
Kirsche_rot.png,Kirsche,Bett,filler
Fliege_schwarz.png,Fliege,Papier,filler
Nest_braun.png,Nest,Höhle,rel
Iglu_weiss.png,Iglu,Zelt,rel
Kette_gold.png,Kette,Möhre,unrel
Salat_gruen.png,Salat,Paket,unrel
Ring_gold.png,Ring,Löwe,unrel
Tomate_rot.png,Tomate,Gurke,rel
Muenze_gold.png,Münze,Kasse,rel
Kaktus_gruen.png,Kaktus,Nase,unrel
Panther_schwarz.png,Panther,Rose,unrel
Schiff_braun.png,Schiff,Boot,rel
Brief_weiss.png,Brief,Kuh,unrel
Traktor_gruen.png,Traktor,Bagger,rel
Ring_gold.png,Ring,Armband,rel
Mund_rot.png,Mund,Esel,unrel
Kirsche_rot.png,Kirsche,Stuhl,unrel
Monster_gruen.png,Monster,Gitarre,unrel
Zahn_weiss.png,Zahn,Lippe,rel
Raupe_gruen.png,Raupe,Käfer,rel
Teller_weiss.png,Teller,Schale,rel
Pferd_braun.png,Pferd,Zelt,unrel
Kette_gold.png,Kette,Uhr,rel
Nest_braun.png,Nest,Mond,unrel
Kittel_weiss.png,Kittel,Vampir,unrel
Tulpe_rot.png,Tulpe,Fisch,unrel
Holz_braun.png,Holz,Stein,rel
Traktor_gruen.png,Traktor,Kasse,unrel
Lakritz_schwarz.png,Lakritz,Bonbon,rel
Zahn_weiss.png,Zahn,Uhr,unrel
Tisch_braun.png,Tisch,Gras,unrel
Erbse_gruen.png,Erbse,Möhre,rel
Gespenst_weiss.png,Gespenst,Hexe,rel
Nuss_braun.png,Nuss,Orgel,unrel
Krone_gold.png,Krone,Zepter,rel
Herz_rot.png,Herz,Lunge,rel
Fliege_schwarz.png,Fliege,Mücke,rel
Geige_braun.png,Geige,Schürze,unrel
Pokal_gold.png,Pokal,Bremse,unrel
Hummer_rot.png,Hummer,Fisch,rel
Schaf_weiss.png,Schaf,Gurke,unrel
Anzug_schwarz.png,Anzug,Hemd,rel
Blut_rot.png,Blut,Träne,rel
Iglu_weiss.png,Iglu,Honig,unrel
