Pic,Item,Distractor,Condition
Gespenst_weiss.png,Gespenst,Seife,filler
Herz_rot.png,Herz,Pfanne,filler
Kette_gold.png,Kette,Möhre,unrel
Panther_schwarz.png,Panther,Löwe,rel
Mund_rot.png,Mund,Nase,rel
Raupe_gruen.png,Raupe,Zepter,unrel
Tomate_rot.png,Tomate,Stein,unrel
Klavier_schwarz.png,Klavier,Palme,unrel
Zahn_weiss.png,Zahn,Lippe,rel
Nest_braun.png,Nest,Mond,unrel
Klee_gruen.png,Klee,Gras,rel
Fliege_schwarz.png,Fliege,Boot,unrel
Erbse_gruen.png,Erbse,Möhre,rel
Koffer_schwarz.png,Koffer,Tasche,rel
Anzug_schwarz.png,Anzug,Bonbon,unrel
Krone_gold.png,Krone,Zepter,rel
Pferd_braun.png,Pferd,Esel,rel
Teller_weiss.png,Teller,Medaille,unrel
Schiff_braun.png,Schiff,Boot,rel
Tulpe_rot.png,Tulpe,Fisch,unrel
Pokal_gold.png,Pokal,Bremse,unrel
Herz_rot.png,Herz,Schale,unrel
Trompete_gold.png,Trompete,Gitarre,rel
Blut_rot.png,Blut,Pflaume,unrel
Schaf_weiss.png,Schaf,Kuh,rel
Nuss_braun.png,Nuss,Honig,rel
Kittel_weiss.png,Kittel,Vampir,unrel
Reifen_schwarz.png,Reifen,Bremse,rel
Gespenst_weiss.png,Gespenst,Mais,unrel
Iglu_weiss.png,Iglu,Zelt,rel
Tomate_rot.png,Tomate,Gurke,rel
Ring_gold.png,Ring,Löwe,unrel
Kirsche_rot.png,Kirsche,Stuhl,unrel
Brief_weiss.png,Brief,Paket,rel
Hummer_rot.png,Hummer,Lunge,unrel
Muenze_gold.png,Münze,Kasse,rel
Lakritz_schwarz.png,Lakritz,Bonbon,rel
Monster_gruen.png,Monster,Vampir,rel
Zahn_weiss.png,Zahn,Uhr,unrel
Schiff_braun.png,Schiff,Höhle,unrel
Blut_rot.png,Blut,Träne,rel
Salat_gruen.png,Salat,Mais,rel
Gespenst_weiss.png,Gespenst,Hexe,rel
Mund_rot.png,Mund,Esel,unrel
