Pic,Item,Distractor,Condition
Kette_gold.png,Kette,Brot,filler
Iglu_weiss.png,Iglu,Heft,filler
Klavier_schwarz.png,Klavier,Palme,unrel
Teller_weiss.png,Teller,Medaille,unrel
Kirsche_rot.png,Kirsche,Pflaume,rel
Stern_gold.png,Stern,Tasche,unrel
Panther_schwarz.png,Panther,Löwe,rel
Mund_rot.png,Mund,Nase,rel
Klee_gruen.png,Klee,Armband,unrel
Schiff_braun.png,Schiff,Höhle,unrel
Tulpe_rot.png,Tulpe,Rose,rel
Muenze_gold.png,Münze,Flöte,unrel
Reifen_schwarz.png,Reifen,Träne,unrel
Kaktus_gruen.png,Kaktus,Palme,rel
Tisch_braun.png,Tisch,Stuhl,rel
Hummer_rot.png,Hummer,Lunge,unrel
Kittel_weiss.png,Kittel,Schürze,rel
Fliege_schwarz.png,Fliege,Boot,unrel
Salat_gruen.png,Salat,Mais,rel
Koffer_schwarz.png,Koffer,Tasche,rel
Geige_braun.png,Geige,Flöte,rel
Tomate_rot.png,Tomate,Stein,unrel
Lakritz_schwarz.png,Lakritz,Mücke,unrel
Klee_gruen.png,Klee,Gras,rel
Herz_rot.png,Herz,Schale,unrel
Anzug_schwarz.png,Anzug,Bonbon,unrel
Schaf_weiss.png,Schaf,Kuh,rel
Trompete_gold.png,Trompete,Gitarre,rel
Nuss_braun.png,Nuss,Honig,rel
Krone_gold.png,Krone,Bagger,unrel
Pferd_braun.png,Pferd,Esel,rel
Gespenst_weiss.png,Gespenst,Mais,unrel
Koffer_schwarz.png,Koffer,Hexe,unrel
Blut_rot.png,Blut,Pflaume,unrel
Stern_gold.png,Stern,Mond,rel
Erbse_gruen.png,Erbse,Hemd,unrel
Reifen_schwarz.png,Reifen,Bremse,rel
Pokal_gold.png,Pokal,Medaille,rel
Holz_braun.png,Holz,Lippe,unrel
Raupe_gruen.png,Raupe,Zepter,unrel
Brief_weiss.png,Brief,Paket,rel
Klavier_schwarz.png,Klavier,Orgel,rel
Monster_gruen.png,Monster,Vampir,rel
Trompete_gold.png,Trompete,Käfer,unrel
